,Date,AveragePrice,TotalVolume,4046,4225,4770,TotalBags,SmallBags,LargeBags,XLargeBags,type,year,region
0,2015-12-27,1.52,549787.59,89709.92,206198.62,5836.04,248043.01,142262.93,105780.08,0.0,organic,2015,TotalUS
1,2015-12-20,1.53,531478.24,93849.3,205909.13,8733.11,222986.7,130418.73,92567.97,0.0,organic,2015,TotalUS
2,2015-12-13,1.43,624300.31,91837.92,222314.6,11645.54,298502.25,149767.8,148734.45,0.0,organic,2015,TotalUS
3,2015-12-06,1.52,514112.96,90203.21,212582.74,4066.09,207260.92,108684.49,98576.43,0.0,organic,2015,TotalUS
4,2015-11-29,1.5,507830.81,79215.51,208733.32,3749.48,216132.5,91658.24,124474.26,0.0,organic,2015,TotalUS
5,2015-11-22,1.49,584276.79,95222.99,249686.75,3686.28,235680.77,99537.47,136143.3,0.0,organic,2015,TotalUS
6,2015-11-15,1.6,511347.26,109494.19,225216.4,3599.71,173036.96,120815.93,52221.03,0.0,organic,2015,TotalUS
7,2015-11-08,1.54,605197.12,167254.55,249160.89,4458.45,184323.23,124419.8,59903.43,0.0,organic,2015,TotalUS
8,2015-11-01,1.47,647789.17,113380.29,262559.59,6583.03,265266.26,139244.36,126021.9,0.0,organic,2015,TotalUS
9,2015-10-25,1.62,560830.54,109006.18,244222.97,6181.13,201420.26,116814.8,84605.46,0.0,organic,2015,TotalUS
10,2015-10-18,1.71,518034.86,108697.64,224038.49,5199.73,180099.0,101575.52,78523.48,0.0,organic,2015,TotalUS
11,2015-10-11,1.69,519892.67,93015.27,230653.61,4792.06,191431.73,101953.72,89478.01,0.0,organic,2015,TotalUS
12,2015-10-04,1.72,557392.73,95393.58,269237.06,4093.2,188668.89,106372.09,82296.8,0.0,organic,2015,TotalUS
13,2015-09-27,1.75,501814.87,114590.38,238175.26,4546.66,144502.57,81095.01,63407.56,0.0,organic,2015,TotalUS
14,2015-09-20,1.77,515240.82,126318.13,244950.88,4880.83,139090.98,91117.47,47973.51,0.0,organic,2015,TotalUS
15,2015-09-13,1.8,552059.64,133928.36,251786.63,5154.23,161190.42,108342.83,52847.59,0.0,organic,2015,TotalUS
16,2015-09-06,1.78,593797.17,132181.77,271784.99,5890.57,183939.84,122146.97,61792.87,0.0,organic,2015,TotalUS
17,2015-08-30,1.66,670005.94,150924.97,325442.96,5569.76,188068.25,113122.37,74945.88,0.0,organic,2015,TotalUS
18,2015-08-23,1.72,666276.26,176723.74,298092.6,5985.12,185474.8,119991.27,65483.53,0.0,organic,2015,TotalUS
19,2015-08-16,1.75,644689.71,150876.8,310229.77,6215.26,177367.88,107593.62,69774.26,0.0,organic,2015,TotalUS
20,2015-08-09,1.0,625259.0,170184.0,269330.0,6905.0,178838.0,126058.0,52779.0,0.0,organic,2015,TotalUS
21,2015-08-02,1.0,573873.0,164126.0,263359.0,5115.0,141271.0,93120.0,48151.0,0.0,organic,2015,TotalUS
22,2015-07-26,1.0,580826.0,169940.0,266249.0,4391.0,140244.0,71807.0,68436.0,0.0,organic,2015,TotalUS
23,2015-07-19,1.0,650389.0,159752.0,317728.0,4758.0,168149.0,81667.0,86482.0,0.0,organic,2015,TotalUS
24,2015-07-12,1.0,608845.0,178871.0,267353.0,5093.0,157526.0,80220.0,77305.0,0.0,organic,2015,TotalUS
25,2015-07-05,1.0,668233.0,205073.0,304597.0,6251.0,152309.0,88261.0,64048.0,0.0,organic,2015,TotalUS
26,2015-06-28,1.64,659947.03,192182.13,332739.27,5956.87,129068.76,80006.4,49062.36,0.0,organic,2015,TotalUS
27,2015-06-21,1.66,638192.89,202071.06,304368.47,6264.36,125489.0,76906.18,48582.82,0.0,organic,2015,TotalUS
28,2015-06-14,1.68,646098.42,203021.68,278912.22,6901.71,157262.81,106154.26,51108.55,0.0,organic,2015,TotalUS
29,2015-06-07,1.67,640448.59,200483.4,264482.87,6286.15,169196.17,109859.75,59336.42,0.0,organic,2015,TotalUS
30,2015-05-31,1.58,716942.71,205250.19,333300.63,6835.09,171556.8,117664.54,53892.26,0.0,organic,2015,TotalUS
31,2015-05-24,1.59,714266.31,234692.14,293553.99,6911.26,179108.92,116181.11,62927.81,0.0,organic,2015,TotalUS
32,2015-05-17,1.5,761972.65,246278.31,312193.09,22024.09,181477.16,120662.4,60814.76,0.0,organic,2015,TotalUS
33,2015-05-10,1.42,861671.11,251602.18,349907.52,6213.47,253947.94,127774.24,126173.7,0.0,organic,2015,TotalUS
34,2015-05-03,1.37,912681.57,323883.65,380650.64,8951.77,199195.51,119498.18,79697.33,0.0,organic,2015,TotalUS
35,2015-04-26,1.45,872239.07,321733.2,379382.1,6150.07,164973.7,113575.79,51397.91,0.0,organic,2015,TotalUS
36,2015-04-19,1.59,675907.97,215283.51,301783.5,6465.74,152375.22,113428.19,38947.03,0.0,organic,2015,TotalUS
37,2015-04-12,1.53,810018.27,202491.27,428607.3,6179.48,172740.22,117569.14,55171.08,0.0,organic,2015,TotalUS
38,2015-04-05,1.63,661842.02,197746.89,275595.72,6434.88,182064.53,131692.64,50371.89,0.0,organic,2015,TotalUS
39,2015-03-29,1.6,674551.02,193273.88,324919.62,5794.39,150563.13,113703.56,36859.57,0.0,organic,2015,TotalUS
40,2015-03-22,1.49,682640.03,237139.46,320353.82,5290.59,119856.16,83554.82,36301.34,0.0,organic,2015,TotalUS
41,2015-03-15,1.5,644584.67,235569.01,258475.58,5308.79,145231.29,109325.32,35905.97,0.0,organic,2015,TotalUS
42,2015-03-08,1.49,783913.05,253078.17,327972.28,5658.7,197203.9,169302.64,27901.26,0.0,organic,2015,TotalUS
43,2015-03-01,1.4,814484.79,361996.84,275458.57,5556.02,171473.36,148488.14,22985.22,0.0,organic,2015,TotalUS
44,2015-02-22,1.51,673446.69,272594.88,230342.87,4883.55,165625.39,133314.63,32310.76,0.0,organic,2015,TotalUS
45,2015-02-15,1.58,616177.0,207650.64,228653.33,4950.01,174923.02,140602.0,34321.02,0.0,organic,2015,TotalUS
46,2015-02-08,1.48,730874.31,215657.99,273897.84,5316.55,236001.93,179887.47,56114.46,0.0,organic,2015,TotalUS
47,2015-02-01,1.36,740896.97,302561.47,259286.44,5852.28,173196.78,129953.15,43243.63,0.0,organic,2015,TotalUS
48,2015-01-25,1.53,556368.86,207494.87,212312.02,4753.87,131808.1,95964.83,35843.27,0.0,organic,2015,TotalUS
49,2015-01-18,1.42,713120.0,254319.58,311811.01,4020.85,142968.56,101850.23,41118.33,0.0,organic,2015,TotalUS
50,2015-01-11,1.42,669528.88,270966.74,260971.6,3830.42,133760.12,106844.49,26915.63,0.0,organic,2015,TotalUS
51,2015-01-04,1.46,612910.15,233286.13,216611.2,4370.99,158641.83,115068.71,43573.12,0.0,organic,2015,TotalUS
0,2016-12-25,1.34,914035.42,93875.25,250138.66,3415.27,566606.24,330909.02,235697.22,0.0,organic,2016,TotalUS
1,2016-12-18,1.43,797042.27,97661.23,248598.14,4926.76,445856.14,279458.24,166397.9,0.0,organic,2016,TotalUS
2,2016-12-11,1.42,856795.63,93027.82,248303.87,6116.44,509347.5,293760.79,215586.71,0.0,organic,2016,TotalUS
3,2016-12-04,1.56,832767.55,106472.53,242055.86,2918.28,481320.88,284858.65,196462.23,0.0,organic,2016,TotalUS
4,2016-11-27,1.64,761675.87,100240.54,198874.09,3381.69,459179.55,292770.32,166409.23,0.0,organic,2016,TotalUS
5,2016-11-20,1.63,860320.59,110737.55,233518.72,3847.05,512217.27,319112.58,193104.69,0.0,organic,2016,TotalUS
